metric,win_start,win_end,n_arrays,n_subjects,contrast,sd,ci_lo,ci_hi,n_units,efficiency_vs_within
yield:active,60,66,2,1,within,0.0,0.0,0.0,2.0,
yield:active,60,66,2,1,between_array,0.0,0.0,0.0,1.0,
yield:active,60,66,2,1,between_array_cleanpairs,,,,0.0,
yield:active,60,66,2,1,between_subject,,,,0.0,
yield:active,63,69,2,1,within,0.0,0.0,0.0,2.0,
yield:active,63,69,2,1,between_array,0.0,,,1.0,
yield:active,63,69,2,1,between_array_cleanpairs,,,,0.0,
yield:active,63,69,2,1,between_subject,,,,0.0,
yield:active,66,72,2,1,within,0.0,0.0,0.0,2.0,
yield:active,66,72,2,1,between_array,0.0,,,1.0,
yield:active,66,72,2,1,between_array_cleanpairs,,,,0.0,
yield:active,66,72,2,1,between_subject,,,,0.0,
